Model,Train_RMSE,Test_RMSE,Test_MAE,Test_R2,Test_MAPE
Random Forest,1.576886039728345,37.39176269517129,29.897494239254275,-0.5636642644323964,12.714455860328416
Gradient Boosting,1.2083879895561214,38.23336433451769,29.985069907799527,-0.6348453034919805,12.669734486656647
Linear Regression,3.7247704605711722,6.377599331132159,2.621533000118241,0.9545110307293174,1.2108454095446544
Ridge,3.7599520269423707,6.541415282153319,2.7151833358877306,0.9521441454408114,1.255436994428917
Lasso,4.186651725607634,7.844914007699386,4.656957608048295,0.9311715470300591,2.062341634707642
SVR,7.181950472614784,59.05029303771784,47.272075744240155,-2.899740849132136,20.036856718867067
KNN,3.532368655704765,37.69818604401099,30.350886513530348,-0.5893975533369837,12.945194167532549
Decision Tree,0.0,38.20528720154249,31.181877025659535,-0.6324450483473234,13.35344400735963
AdaBoost,2.7707501424725285,37.646077531982634,29.35322791347798,-0.5850066841607149,12.38002613821553
