Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Year,Month,Day,DayOfWeek,Quarter,Returns,Log_Returns,MA_7,MA_30,MA_90,Volatility_30,Momentum_5,Momentum_10,RSI_14,MACD,Signal_Line,BB_Middle,BB_Upper,BB_Lower,HL_Spread,HL_PCT,Volume_MA_30,Volume_Ratio,Target,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Total Debt,Net Debt,Ordinary Shares Number,Total Assets
1980-12-12 00:00:00-05:00,0.098484843969345,0.0989130151801672,0.098484843969345,0.098484843969345,469033600,0.0,0.0,1980,12,12,4,4,,,,,,,,,,0.0,0.0,,,,0.000428171210822198,0.4347584801530206,,,0.0933468490839004,,,,,,,
1980-12-15 00:00:00-05:00,0.0937750203847412,0.0937750203847412,0.0933468490839004,0.0933468490839004,175884800,0.0,0.0,1980,12,15,0,4,-0.05217041199805206,-0.053580552377405236,,,,,,,,-0.00040986853787022826,-8.197370757404566e-05,,,,0.0004281713008408017,0.4586885417588763,,,0.086495392024517,,,,,,,
1980-12-16 00:00:00-05:00,0.0869235576286224,0.0869235576286224,0.086495392024517,0.086495392024517,105728000,0.0,0.0,1980,12,16,1,4,-0.0733978396338294,-0.07623097450417338,,,,,,,,-0.0012728747242678473,-0.000320153910912806,,,,0.00042816560410539883,0.4950155078596971,,,0.0886361896991729,,,,,,,
1980-12-17 00:00:00-05:00,0.0886361896991729,0.0890643608184848,0.0886361896991729,0.0886361896991729,86441600,0.0,0.0,1980,12,17,2,4,0.024750424554976336,0.02444909470325001,,,,,,,,-0.0017637375945581818,-0.0006088706476418812,,,,0.00042817111931189866,0.48306580051003034,,,0.0912060290575027,,,,,,,
1980-12-18 00:00:00-05:00,0.0912060290575027,0.0916341947320418,0.0912060290575027,0.0912060290575027,73449600,0.0,0.0,1980,12,18,3,4,0.028993116322483026,0.028580767152649324,,,,,,,,-0.0019232157624168023,-0.0008717396705968654,,,,0.00042816567453909937,0.4694488719261679,,,0.0967721939086914,,,,,,,
1980-12-19 00:00:00-05:00,0.0967721939086914,0.09720036522282,0.0967721939086914,0.0967721939086914,48630400,0.0,0.0,1980,12,19,4,4,0.0610284748575054,0.05923869702620199,,,,,-0.0017126500606535894,,,-0.0015822215096480685,-0.001013836038407106,,,,0.0004281713141285892,0.44245283364412163,,,0.1014820337295532,,,,,,,
1980-12-22 00:00:00-05:00,0.1014820337295532,0.1019109710338249,0.1014820337295532,0.1014820337295532,37363200,0.0,0.0,1980,12,22,0,4,0.048669350467611894,0.047522075215443944,0.09377479021038324,,,,0.008135184645652799,,,-0.0009213160380408675,-0.0009953320383338583,,,,0.0004289373042717093,0.4226731456868664,,,0.1057644858956337,,,,,,,
1980-12-23 00:00:00-05:00,0.1057644858956337,0.1061926571509738,0.1057644858956337,0.1057644858956337,46950400,0.0,0.0,1980,12,23,1,4,0.042199116520399205,0.04133301578622681,0.0948147390569959,,,,0.019269093871116694,,,-5.1393161988447233e-05,-0.0008065442630647761,,,,0.00042817125534010125,0.40483462072761567,,,0.1113307029008865,,,,,,,
1980-12-24 00:00:00-05:00,0.1113307029008865,0.1117588742523291,0.1113307029008865,0.1113307029008865,48003200,0.0,0.0,1980,12,24,2,4,0.05262841262940965,0.05129028638096565,0.09738386103085106,,,,0.02269451320171359,,,0.0010747847289216544,-0.00043027846466749,,,,0.0004281713514426022,0.3845941328725706,,,0.1216074526309967,,,,,,,
1980-12-26 00:00:00-05:00,0.1216074526309966,0.1220356237705415,0.1216074526309966,0.1216074526309967,55574400,0.0,0.0,1980,12,26,4,4,0.09230831623563196,0.08829317834715007,0.10239986968891958,,,,0.030401423573494,,,0.002764667274584548,0.0002087106831829176,,,,0.0004281711395449084,0.3520928448720512,,,0.1233201771974563,,,,,,,
